net,max_min,seed,nb_inequalities,nb_trips,def_nb_veh_D0,def_nb_veh_D1,def_obj_val,def_sol_time,def_col_gen_iter,def_tot_mem_use,ineq_nb_veh_D0,ineq_nb_veh_D1,ineq_obj_val,ineq_sol_time,ineq_col_gen_iter,ineq_tot_mem_use,model_acc
3b,2,156,473,956,0.0,57.9969,65047.53,1198.3,220,57.755,0.0,57.9968,64966.99,1146.2,259,62.387,0.91137213682812
3b,2,157,487,954,0.0,63.9967,70727.54,4007.3,441,62.758,0.0,62.9967,69782.52,254.3,136,57.566,0.9383295991448688
3b,2,158,494,1028,0.0,57.9973,64900.1,854.6,179,72.709,0.0,57.9973,64813.03,814.2,182,89.176,0.912444706544438
3b,2,159,431,991,0.0,50.9976,57734.43,467.6,167,62.901,0.0,50.4974,57274.2,310.9,152,63.877,0.9047378573744451
3b,2,160,450,1014,0.0,63.9971,70235.84,512.1,152,59.896,0.0,60.997,67591.87,392.4,158,58.829,0.9282104099347817
3b,2,161,486,1055,0.0,51.9975,59124.32,1203.8,193,76.212,0.0,51.9973,59096.06,599.8,154,87.874,0.8835953032584373
3b,2,162,509,991,0.0,63.9967,71115.47,833.4,169,58.194,0.0,62.9964,70288.22,323.8,169,59.381,0.9517488986235484
3b,2,163,527,994,0.0,68.9963,76081.13,218.9,117,64.869,0.0,68.9962,76058.98,423.6,163,58.542,0.9473606512669911
3b,2,164,488,984,0.0,63.9969,71205.82,223.7,118,54.032,0.0,63.9966,71115.57,258.0,141,56.506,0.931361034730717
3b,2,165,451,970,0.0,50.9976,57996.48,2486.7,336,56.408,0.0,50.9976,57886.9,302.3,147,58.489,0.8975171869893797
3b,2,166,513,1026,0.0,63.9968,71167.56,1099.9,198,64.952,0.0,63.9967,71117.42,1073.8,238,71.717,0.9381344089436575
3b,2,167,523,1084,0.0,63.9967,71163.44,596.5,133,70.279,0.0,63.9967,71087.42,707.1,162,71.845,0.9268767998134358
3b,2,168,460,1030,0.0,51.9977,59492.65,1584.2,238,68.683,0.0,51.9977,59390.6,544.8,160,71.46,0.9030405834834558
3b,2,169,504,1048,0.0,63.9969,71337.61,216.6,103,64.18,0.0,63.9969,71323.58,369.2,146,68.871,0.934057363821757
3b,2,170,514,989,0.0,63.9966,70893.4,348.9,124,62.742,0.0,62.9966,69968.4,330.0,140,59.48,0.9389698391804499
3b,2,171,488,1043,0.0,63.997,71623.75,1170.6,191,72.285,0.0,63.9969,71573.58,369.7,155,60.941,0.931719534634507
3b,2,172,550,1098,0.0,63.997,71909.46,804.0,139,82.327,0.0,63.997,71713.05,1456.9,199,82.047,0.9040762879404582
3b,2,173,522,1079,0.0,63.9965,71155.22,4205.0,325,81.578,0.0,63.9964,71136.18,466.4,154,68.198,0.948244605139107
3b,2,174,578,1057,0.0,68.9966,76795.31,1004.6,158,71.256,0.0,68.9965,76733.61,509.6,168,70.726,0.932083692162766
3b,2p5,0,432,879,0.0,53.9972,60482.17,395.4,152,52.784,0.0,53.9972,60479.15,191.8,132,50.286,0.9236807734055369
3b,2p5,1,396,768,0.0,53.9973,59908.53,553.7,196,45.989,0.0,53.9973,59897.42,188.2,156,45.747,0.9404639099870323
3b,2p5,2,435,882,0.0,43.9976,50866.44,392.7,147,53.851,0.0,43.9975,50673.38,277.6,145,60.45,0.89792942031748
3b,2p5,3,443,833,0.0,55.9968,62053.81,886.6,287,48.085,0.0,53.9969,60204.92,345.9,183,49.704,0.929655444910861
3b,2p5,4,443,857,0.0,59.997,66506.17,1152.5,223,55.653,0.0,59.997,66462.1,163.3,132,49.485,0.9245764571018944
3b,2p5,5,403,837,0.0,50.9975,57586.51,1060.7,275,52.035,0.0,50.9975,57492.52,252.2,149,48.471,0.9369229857780909
3b,2p5,6,404,859,0.0,47.9977,54312.69,237.6,141,51.028,0.0,47.9976,54284.63,312.2,157,52.761,0.9252719384158257
3b,2p5,7,454,857,0.0,53.9974,60604.26,134.3,101,54.351,0.0,52.9974,59547.78,202.9,128,51.709,0.9198602823730968
3b,2p5,8,427,829,0.0,55.9969,62117.93,2188.5,355,57.053,0.0,55.9969,62042.97,382.6,211,50.938,0.9396832955516865
3b,2p5,9,441,831,0.0,53.997,60284.02,709.2,226,54.419,0.0,53.9969,60236.0,258.8,154,56.266,0.913421734511652
3b,2p5,10,425,868,0.0,47.9977,54042.66,933.6,257,49.575,0.0,47.9977,53982.58,254.6,164,52.292,0.9200290941916831
3b,2p5,11,423,827,0.0,53.9974,60708.34,143.9,116,50.56,0.0,52.9974,59823.25,179.1,129,47.025,0.9235742995281645
3b,2p5,12,422,849,0.0,50.9974,57366.31,1061.5,246,57.658,0.0,50.9973,57300.33,186.0,135,50.96,0.903288496640004
3b,2p5,13,416,803,0.0,50.9974,57624.34,599.2,221,48.032,0.0,50.9974,57510.41,1005.4,291,49.432,0.8952687680585598
3b,2p5,14,427,870,0.0,56.9972,63358.12,307.7,145,50.938,0.0,55.9972,62440.09,231.8,170,49.939,0.9334373786552764
3b,2p5,15,376,741,0.0,47.9976,54114.87,152.4,123,40.783,0.0,47.9976,54061.31,146.3,138,41.781,0.8890522491988121
3b,2p5,17,440,925,0.0,56.9974,63608.41,1631.1,274,58.338,0.0,56.9974,63574.38,379.8,152,60.873,0.9363465921867994
3b,2p5,18,367,764,0.0,47.9977,53564.86,167.6,139,43.363,0.0,47.9976,53523.84,145.8,130,46.889,0.9303580030806622
3b,2p5,19,393,825,0.0,45.9974,52454.25,250.4,132,54.101,0.0,45.4977,51921.54,158.8,133,49.386,0.898153933927407
3b,2p5,20,461,805,0.0,53.9973,60216.34,435.6,182,53.397,0.0,53.9972,60156.19,146.4,143,46.526,0.9361002854921889
3b,2p5,21,424,808,0.0,50.9973,57372.36,258.4,145,50.484,0.0,50.9973,57362.33,171.4,152,46.715,0.9276020402790113
3b,2p5,22,407,866,0.0,49.9973,56474.23,700.5,203,57.65,0.0,49.9972,56332.12,276.9,146,53.299,0.8865683379465077
3b,2p5,23,396,875,0.0,48.9977,54840.8,603.4,210,51.754,0.0,48.9974,54766.58,219.5,149,54.297,0.850015538425389
3b,2p5,24,411,788,0.0,48.9977,55348.85,317.6,161,48.675,0.0,48.9976,55289.72,178.6,127,52.573,0.9185663450466991
3b,2p5,25,471,881,0.0,43.9977,50724.62,479.4,162,64.09,0.0,43.9976,50622.44,203.4,124,53.737,0.8929604558257969
3b,2p5,26,392,846,0.0,45.9974,52030.34,786.7,229,52.217,0.0,45.4973,51567.22,310.3,166,58.369,0.9227048382331335
3b,2p5,27,398,769,0.0,49.9978,55524.89,176.8,141,47.404,0.0,49.9977,55519.22,148.3,150,46.791,0.9409565948547471
3b,2p5,28,413,768,0.0,53.9973,60338.36,927.2,257,42.727,0.0,53.9973,60297.64,185.4,147,47.374,0.9287856782320963
